State,Location,Blackout Date,Yellow Light Date
CA,,9/1/2015,9/6/2015
CA,,,
CA,,9/3/2015,9/7/2015
CA,,,
CA,,9/11/2015,9/8/2015
CA,,,
CA,,9/12/2015,9/9/2015
CA,,,
CA,,9/13/2015,9/10/2015
CA,,,
CA,,9/14/2015,9/15/2015
CA,,,
CA,,9/17/2015,9/16/2015
CA,,,
CA,,9/19/2015,9/18/2015
CA,,,
CA,,9/20/2015,9/23/2015
CA,,,
CA,,9/21/2015,9/27/2015
CA,,,
CA,,9/22/2015,9/28/2015
CA,,,
CA,,9/24/2015,9/29/2015
CA,,,
CA,,9/25/2015,9/30/2015
CA,,,
CA,,9/26/2015,
CA,Burlingame,8/24/2015,8/21/2015
CA,,,
CA,,8/25/2015,8/22/2015
CA,,,
CA,,8/26/2015,8/23/2015
CA,,,
CA,,8/27/2015,8/30/2015
CA,,,
CA,,8/28/2015,9/2/2015
CA,,,
CA,,8/30/2015,9/4/2015
CA,,,
CA,,8/31/2015,9/5/2015
CA,,,
CA,,9/1/2015,9/6/2015
CA,,,
CA,,9/3/2015,9/7/2015
CA,,,
CA,,9/11/2015,9/8/2015
CA,,,
CA,,9/12/2015,9/9/2015
CA,,,
CA,,9/13/2015,9/10/2015
CA,,,
CA,,9/14/2015,9/15/2015
CA,,,
CA,,9/17/2015,9/16/2015
CA,,,
CA,,9/19/2015,9/18/2015
CA,,,
CA,,9/20/2015,9/23/2015
CA,,,
CA,,9/21/2015,9/27/2015
CA,,,
CA,,9/22/2015,9/28/2015
CA,,,
CA,,9/24/2015,9/29/2015
CA,,,
CA,,9/25/2015,9/30/2015
CA,,,
CA,,9/26/2015,
CA,Bakersfield,8/27/2015,
CA,California City,None,
CA,Campbell,8/21/2015,8/27/2015
CA,,,
CA,,8/22/2015,8/28/2015
CA,,,
CA,,8/23/2015,8/29/2015
CA,,,
CA,,8/24/2015,8/30/2015
CA,,,
CA,,8/25/2015,9/1/2015
CA,,,
CA,,8/26/2015,9/2/2015
CA,,,
CA,,8/31/2015,9/3/2015
CA,,,
CA,,9/4/2015,9/5/2015
CA,,,
CA,,9/6/2015,9/7/2015
CA,,,
CA,,9/9/2015,9/8/2015
CA,,,
CA,,9/12/2015,9/10/2015
CA,,,
CA,,9/13/2015,9/11/2015
CA,,,
CA,,9/14/2015,9/15/2015
CA,,,
CA,,9/16/2015,9/19/2015
CA,,,
CA,,9/17/2015,9/23/2015
CA,,,
CA,,9/18/2015,9/27/2015
CA,,,
CA,,9/20/2015,9/28/2015
CA,,,
CA,,9/21/2015,9/29/2015
CA,,,
CA,,9/22/2015,9/30/2015
CA,,,
CA,,9/24/2015,
CA,,,
CA,,9/25/2015,
CA,,,
CA,,9/26/2015,
CA,Carlsbad,8/18/2015,
CA,,8/21/2015,
CA,Carmel,8/21/2015,"June 7-August 31, 2015-No paid instructor in this area. Please call to request an instructor."
CA,,,
