Publication,Town,Round ID,Redelivery,Redelivery Cutoff time M-F,Redelivery Cutoff Sat,Redelivery Cutoff Sun,sme comments
Press City,,CH-03STNIC,Yes,9AM NZ,9AM NZ,No,
Press City,FENDALTON,CH-WER11,Yes,9AM NZ,9AM NZ,No,
Press City,,CH-11HOLLY,Yes,9AM NZ,9AM NZ,No,
Press City,,CH-11KAURI,Yes,9AM NZ,9AM NZ,No,
Press City,RICCARTON,CH-WER10A,Yes,9AM NZ,9AM NZ,No,
Press City,TEMP/PREBB,CH-SWR12,Yes,9AM NZ,9AM NZ,No,
Press City,YALDHURS,CH-WER01,Yes,9AM NZ,9AM NZ,No,
Press City,UPPER RICC,CH-WER41,Yes,9AM NZ,9AM NZ,No,
Press City,,CH-41ALISA,Yes,9AM NZ,9AM NZ,No,
Press City,,CH-41OAKS,Yes,9AM NZ,9AM NZ,No,
Press City,AVONHEAD,CH-WER26,Yes,9AM NZ,9AM NZ,No,
Press City,BURNSIDE,CH-NWR42,Yes,9AM NZ,9AM NZ,No,
Press City,RUSSLEY,CH-NWR06,Yes,9AM NZ,9AM NZ,No,
Press City,AVONHEAD,CH-WER22,Yes,9AM NZ,9AM NZ,No,
Press City,BELFAST,CH-NOR34,Yes,9AM NZ,9AM NZ,No,
Press City,KAINGA,CH-NOR55,Yes,9AM NZ,9AM NZ,No,
Press City,BRYNDWR,CH-NWR43,Yes,9AM NZ,9AM NZ,No,
Press City,HAREWOOD,CH-NWR07,Yes,9AM NZ,9AM NZ,No,
Press City,MERIVALE,CH-NWR13,Yes,9AM NZ,9AM NZ,No,
Press City,FEND/BRYN,CH-NWR09,Yes,9AM NZ,9AM NZ,No,
Press City,BISHOPDALE,CH-NWR05,Yes,9AM NZ,9AM NZ,No,
Press City,ST ALBANS,CH-NOR19,Yes,9AM NZ,9AM NZ,No,
Press City,MERIVALE,CH-NWR16,Yes,9AM NZ,9AM NZ,No,
Press City,,CH-16BISPK,Yes,9AM NZ,9AM NZ,No,
Press City,AS-METTOWN,CH-16MOLLY,Yes,9AM NZ,9AM NZ,No,
Press City,REDWOOD,CH-NOR14,Yes,9AM NZ,9AM NZ,No,
Press City,MAIREHAU,CH-NOR24,Yes,9AM NZ,9AM NZ,No,
Press City,PAPANUI,CH-NWR44,Yes,9AM NZ,9AM NZ,No,
Press City,PAPANUI,CH-44NMRV,Yes,9AM NZ,9AM NZ,No,
Press City,MERIVALE,CH-NOR17,Yes,9AM NZ,9AM NZ,No,
Press City,,CH-17FITZ,Yes,9AM NZ,9AM NZ,No,
Press City,,CH-17MRV,Yes,9AM NZ,9AM NZ,No,
Press City,,CH-17PALAZ,Yes,9AM NZ,9AM NZ,No,
Press City,,CH-17SILVER,Yes,9AM NZ,9AM NZ,No,
Press City,BURNSIDE,CH-NWR48,Yes,9AM NZ,9AM NZ,No,
Press City,SHIRLEY,CH-NOR40,Yes,9AM NZ,9AM NZ,No,
Press City,,CH-40PALM,Yes,9AM NZ,9AM NZ,No,
Press City,,CH-NOR56,Yes,9AM NZ,9AM NZ,No,
The Press,Akaroa,,No,,,,
The Press,Amberley,,No,,,,
The Press,Ashburton,,Yes,9AM NZ,9AM NZ,,
The Press,Blenheim,,No,,,,
The Press,Christchurch,,Yes,9AM NZ,10AM NZ,,
The Press,Colgate,,No,,,,
The Press,Culverden,,No,,,,
The Press,Darfield,,No,,,,
The Press,Diamond Harbour,,No,,,,
The Press,Fairlie,,No,,,,
The Press,Geraldine,,No,,,,
The Press,Governors Bay,,No,,,,
The Press,Greta Valley,,No,,,,
The Press,Greymouth,,No,,,,
The Press,Hanmer,,No,,,,
The Press,Havelock,,No,,,,
The Press,Hawarden,,No,,,,
The Press,Hokitika,,No,,,,
The Press,Kaiapoi,,Yes,9AM NZ,9AM NZ,,
The Press,Kaikoura,,No,,,,
The Press,Leeston/Southbridge,,No,,,,
The Press,Leithfield Town & Beach,,No,,,,
The Press,Lincoln,,No,,,,
The Press,Lyttelton,,No,,,,
The Press,Methven,,No,,,,
The Press,Motueka,,No,,,,
The Press,Murchison,,No,,,,
The Press,Nelson,,No,,,,
The Press,Oxford,,No,,,,
The Press,Picton,,No,,,,
The Press,Pleasant Point,,No,,,,
The Press,Prebbleton,,Yes,9AM NZ,9AM NZ,,
The Press,Rakaia,,No,,,,
The Press,Rangiora,,Yes,9AM NZ,9AM NZ,,
The Press,Reefton,,No,,,,
The Press,Renwick,,No,,,,
The Press,Richmond,,No,,,,
The Press,Rolleston,,No,,,,
The Press,Stoke,,No,,,,
The Press,Temuka,,Yes,9AM NZ,9AM NZ,,
The Press,Timaru,,No,,,,
The Press,Twizel,,No,,,,
The Press,Waiau,,No,,,,
The Press,Waikari,,No,,,,
The Press,Waimate,,No,,,,
The Press,Waipara,,No,,,,
The Press,Wanaka,,Yes,9AM NZ,9AM NZ,,
The Press,Westport,,No,,,,
The Press,Woodend,,No,,,,
CHP,ASHBURTON,AS-ASHR1,Yes,9AM NZ,9AM NZ,,
CHP,KAIAPOI,RA-RIVERHP,Yes,9AM NZ,9AM NZ,,
CHP,RANGIORA,RA-RGAR1,Yes,9AM NZ,9AM NZ,,
CHP,TIMARU,TI-TIMTOWN,Yes,9AM NZ,9AM NZ,,
CHP,WANAKA,DU-WANTOWN,Yes,9AM NZ,9AM NZ,,
CHP,TEMUKA,TE-TEMTOWN,Yes,9AM NZ,9AM NZ,,
CHP,PREBBLETON,CH-SWR12,Yes,9AM NZ,9AM NZ,,
