,Location,Blackout Date,Nearing Black Out-Check with SD before scheduling
KY,Alexandria,,"June 4- Aug 31, 2015"
KY,,,
KY,Warsaw,,"June 4- Aug 31, 2015"
KY,,,
KY,Williamstown,,"June 4- Aug 31, 2015"
KY,,,
KY,Covington,,"June 4- Aug 31, 2015"
KY,,,
KY,Maysville,,"June 4- Aug 31, 2015"
KY,,,
KY,Owenton,,"June 4- Aug 31, 2015"
KY,,,
KY,Falmouth,,"June 4- Aug 31, 2015"
KY,,,
KY,Mount Olivet,,"June 4- Aug 31, 2015"
KY,,,
KY,Richmond,,"June 4- Aug 31, 2015"
KY,,,
LA,Baton Rouge,None,
LA,,,
LA,Monroe,None,
LA,,,
LA,New Orleans,None,
LA,,,
MA,Entire State,None,18-Jun-15
MA,,,
MA,,12-Jun-15,25-Jun-15
MA,,,
MA,,13-Jun-15,26-Jun-15
MA,,,
MA,,18-Jun-15,
MA,,,
MA,,19-Jun-15,
MA,,,
MA,,20-Jun-15,
MA,Cambridge,27-Jun-15,
MA,,,
MA,New Bedford,27-Jun-15,
MA,,,
MA,Boston,27-Jun-15,
MA,,,
MA,Newton,27-Jun-15,
MA,,,
MA,Lexington,27-Jun-15,
MA,,,
MA,Westford,27-Jun-15,
MA,,,
MA,Marblehead,27-Jun-15,
MA,,,
MA,Rockport,27-Jun-15,
MA,,,
MA,Lowell,16-Jun-15,
MA,,,
MA,Brockton,16-Jun-15,
MA,,,
MA,Quincy,16-Jun-15,
MA,,,
MA,Lynn,16-Jun-15,
MA,,,
MA,Fall River,16-Jun-15,
MA,,,
MA,Lawrence,16-Jun-15,
MA,,,
MA,Somerville,16-Jun-15,
MA,,,
MA,Framington,16-Jun-15,
MA,,,
MA,Haverhill,16-Jun-15,
MA,,,
MA,Waltham,16-Jun-15,
MA,,,
MA,Malden,16-Jun-15,
MA,,,
MA,Brookline,16-Jun-15,
MA,,,
MA,Plymouth,16-Jun-15,
MA,,,
MA,Medford,16-Jun-15,
MA,,,
MA,Taunton,16-Jun-15,
MA,,,
MA,Weymouth,16-Jun-15,
MA,,,
MA,Revere,16-Jun-15,
MA,,,
MA,Peabody,16-Jun-15,
MA,,,
MA,Methuen,16-Jun-15,
MA,,,
MA,Barnstable,16-Jun-15,
MA,,,
MA,Attleboro,16-Jun-15,
MA,,,
MA,Arlington,16-Jun-15,
MA,,,
MA,Everett,16-Jun-15,
MA,,,
MA,Salem,16-Jun-15,
MA,,,
MA,Billerica,16-Jun-15,
MA,,,
MA,Worchester,16-Jun-15,
MA,,,
MA,Chicopee,16-Jun-15,
MA,,,
MA,Pittsfield,16-Jun-15,
MA,,,
MA,Westfield,16-Jun-15,
MA,,,
MA,Leominster,16-Jun-15,
MA,,,
MA,Fitchburg,16-Jun-15,
MA,,,
MD,Entire State,20-Jun-15,
MD,,,
MD,,27-Jun-15,
ME,,None,
ME,,,
MI,Entire State,None,
MI,,,
MI,Detroit,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Bloomfield,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,West Bloomfield,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Ann Arbor,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Troy,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Madison Heights,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Port Huron,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Adrian,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Chelsea,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Livonia,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Redford,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Royal Oak,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Berkley,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Hazel Park,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Ferndale,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Southfield,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Southgate,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Taylor,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Trenton,10-Jun-15,
MI,,,
MI,,13-Jun-15,
MI,,,
MI,,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,22-Jun-15,
MI,,,
MI,,23-Jun-15,
MI,,,
MI,,25-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,,,
MI,,27-Jun-15,
MI,Farmington,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,23-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Warren,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Wyandotte,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Romulus,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Canton,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Pontiac,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Richmond,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Chesterfield,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Saline,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Milan,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,New Baltimore,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Utica,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,New Haven,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Auburn Hills,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Rochester,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Rochester Hills,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Dundee,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Flat Rock,4-Jun-15,
MI,,,
MI,,5-Jun-15,
MI,Clarkston,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Waterford,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Novi,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Birmingham,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Dearborn,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Brownstown,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Westland,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Grosse Pointe,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Allen Park,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Belleville,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Garden City,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Westland,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Hamtramck,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Plymouth,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Carleton,18-Jun-15,
MI,,,
MI,,19-Jun-15,
MI,,,
MI,,20-Jun-15,
MI,,,
MI,,26-Jun-15,
MI,Kalamazoo,18-Jun-15,
MI,,,
MI,Grand Rapids,18-Jun-15,
MI,,,
MI,Lansing,18-Jun-15,
MI,,,
MI,Flint,18-Jun-15,
MI,,,
MI,Harrisville,,"June 4- Aug 31, 2015"
MI,,,
MI,Munising,,"June 4- Aug 31, 2015"
MI,,,
MI,Plainwell,,"June 4- Aug 31, 2015"
MI,,,
MI,Alpena,,"June 4- Aug 31, 2015"
MI,,,
MI,Bellaire,,"June 4- Aug 31, 2015"
MI,,,
MI,Standish,,"June 4- Aug 31, 2015"
MI,,,
MI,Baraga,,"June 4- Aug 31, 2015"
MI,,,
MI,Hastings,,"June 4- Aug 31, 2015"
MI,,,
MI,Bay City,,"June 4- Aug 31, 2015"
MI,,,
MI,Benzonia,,"June 4- Aug 31, 2015"
MI,,,
MI,St. Joseph,,"June 4- Aug 31, 2015"
MI,,,
MI,Niles,,"June 4- Aug 31, 2015"
MI,,,
MI,Benton Harbor,,"June 4- Aug 31, 2015"
MI,,,
MI,Berrien Springs,,"June 4- Aug 31, 2015"
MI,,,
MI,Coldwater,,"June 4- Aug 31, 2015"
MI,,,
MI,Battle Creek,,"June 4- Aug 31, 2015"
MI,,,
MI,Dowagiac,,"June 4- Aug 31, 2015"
MI,,,
MI,Boyne City,,"June 4- Aug 31, 2015"
MI,,,
MI,Harlevoix,,"June 4- Aug 31, 2015"
MI,,,
MI,Mackinaw City,,"June 4- Aug 31, 2015"
MI,,,
MI,Sault Saint Marie,,"June 4- Aug 31, 2015"
MI,,,
MI,Clare,,"June 4- Aug 31, 2015"
MI,,,
MI,Dewitt,,"June 4- Aug 31, 2015"
MI,,,
MI,Grayling,,"June 4- Aug 31, 2015"
MI,,,
MI,Escanaba,,"June 4- Aug 31, 2015"
MI,,,
MI,Harbor Springs,,"June 4- Aug 31, 2015"
MI,,,
MI,Petoskey,,"June 4- Aug 31, 2015"
MI,,,
MI,Gladwin,,"June 4- Aug 31, 2015"
MI,,,
MI,Ironwood,,"June 4- Aug 31, 2015"
MI,,,
MI,Bessemer,,"June 4- Aug 31, 2015"
MI,,,
MI,Traverse City,,"June 4- Aug 31, 2015"
MI,,,
MI,Alma,,"June 4- Aug 31, 2015"
MI,,,
MI,Hillsdale,,"June 4- Aug 31, 2015"
MI,,,
MI,Houghton,,"June 4- Aug 31, 2015"
MI,,,
MI,Hancock,,"June 4- Aug 31, 2015"
MI,,,
MI,Bad Axe,,"June 4- Aug 31, 2015"
MI,,,
MI,Ionia,,"June 4- Aug 31, 2015"
MI,,,
MI,Cawas City,,"June 4- Aug 31, 2015"
MI,,,
MI,Iron River,,"June 4- Aug 31, 2015"
MI,,,
MI,Mt. Pleasant,,"June 4- Aug 31, 2015"
MI,,,
MI,Jackson,,"June 4- Aug 31, 2015"
MI,,,
MI,Kalkaska,,"June 4- Aug 31, 2015"
MI,,,
MI,Copper Harbor,,"June 4- Aug 31, 2015"
MI,,,
MI,Baldwin,,"June 4- Aug 31, 2015"
MI,,,
MI,Lapeer,,"June 4- Aug 31, 2015"
MI,,,
MI,Leland,,"June 4- Aug 31, 2015"
MI,,,
MI,Howell,,"June 4- Aug 31, 2015"
MI,,,
MI,Newberry,,"June 4- Aug 31, 2015"
MI,,,
MI,Mackinaw,,"June 4- Aug 31, 2015"
MI,,,
MI,Manistee,,"June 4- Aug 31, 2015"
MI,,,
MI,Marquette,,"June 4- Aug 31, 2015"
MI,,,
MI,,,
MI,Ludington,,"June 4- Aug 31, 2015"
MI,,,
MI,,,
MI,Big Rapids,,"June 4- Aug 31, 2015"
MI,,,
MI,Midland,,"June 4- Aug 31, 2015"
MI,,,
MI,Lake City,,"June 4- Aug 31, 2015"
MI,,,
MI,Greenville,,"June 4- Aug 31, 2015"
MI,,,
MI,Hillman,,"June 4- Aug 31, 2015"
MI,,,
MI,Muskegon,,"June 4- Aug 31, 2015"
MI,,,
MI,White Cloud,,"June 4- Aug 31, 2015"
MI,,,
MI,Shelby,,"June 4- Aug 31, 2015"
MI,,,
MI,West Branch,,"June 4- Aug 31, 2015"
MI,,,
MI,Ontonagon,,"June 4- Aug 31, 2015"
MI,,,
MI,Reed City,,"June 4- Aug 31, 2015"
MI,,,
MI,Fairview,,"June 4- Aug 31, 2015"
MI,,,
MI,Gaylord,,"June 4- Aug 31, 2015"
MI,,,
MI,Holland,,"June 4- Aug 31, 2015"
MI,,,
MI,Presque Isle,,"June 4- Aug 31, 2015"
MI,,,
MI,Houghton Lake,,"June 4- Aug 31, 2015"
MI,,,
MI,Saginaw,,"June 4- Aug 31, 2015"
MI,,,
MI,Three Rivers,,"June 4- Aug 31, 2015"
MI,,,
MI,Marlette,,"June 4- Aug 31, 2015"
MI,,,
MI,Manistique,,"June 4- Aug 31, 2015"
MI,,,
MI,Owosso,,"June 4- Aug 31, 2015"
MI,,,
MI,Caro,,"June 4- Aug 31, 2015"
MI,,,
MI,Hartford,,"June 4- Aug 31, 2015"
MI,,,
MI,Cadillac,,"June 4- Aug 31, 2015"
MI,,,
MN,Entire State,,18-Jun-15
MN,,,
MO,St. Louis,None,
MO,,,
NC,,"June 13, 2015 (Entire State except Charlotte, Statesville, Concord, Hickory, Gastonia and Monroe )",
NC,,,
ND,Fargo,,Anything within an hour radius of Fargo does not need approval.  All other areas of North Dakota need pre--approval.  
ND,,,
NE,Entire State,None,
NE,,,
,,None,
NH,,,
NH,Entire State,None,
,,,
NJ,Cherry Hill,None,
NJ,,,
NJ,Camden,12-Jun-15,11-Jun-15
NJ,,,
NJ,,15-Jun-15,13-Jun-15
NJ,,,
NJ,,18-Jun-15,14-Jun-15
NJ,,,
NJ,,20-Jun-15,16-Jun-15
NJ,,,
NJ,,22-Jun-15,17-Jun-15
NJ,,,
NJ,,23-Jun-15,24-Jun-15
NJ,,,
NJ,,24-Jun-15,25-Jun-15
NJ,,,
NJ,,,26-Jun-15
NJ,,,
NJ,,,27-Jun-15
NJ,,,
NJ,,,28-Jun-15
NJ,,,
NJ,,,29-Jun-15
NJ,,,
NJ,,,30-Jun-15
NJ,,,
NJ,,,
NJ,,,Available Dates
NJ,,,
NJ,,,"June 27, 2015 1 instructor available"
NJ,,,
NJ,,,"June 28, 2015 1 instructor available"
NJ,,,
NJ,,,"June 29, 2015 1 instructor available"
NJ,,,
NJ,,,"June 30, 2015 2 instructors available"
NJ,Woodbury,None,
NJ,,,
NJ,Evesham Township,None,
NJ,,,
NJ,Washington,None,
NJ,,,
NJ,Glassboro,None,
NJ,,,
NJ,Winslow,None,
NJ,,,
NJ,Monroe,None,
NJ,,,
NJ,Hammonton,None,
NJ,,,
NJ,Bass River,None,
NJ,,,
NJ,Salem,None,
NJ,,,
NJ,Pittsgrove,None,
NJ,,,
NJ,Buena,None,
NJ,,,
NJ,Buena Vista,None,
NJ,,,
NJ,Hamilton,None,
NJ,,,
NJ,Gallloway,None,
NJ,,,
NJ,Egg Harbor Township,12-Jun-15,11-Jun-15
NJ,,,
NJ,,15-Jun-15,13-Jun-15
NJ,,,
NJ,,18-Jun-15,15-Jun-15
NJ,,,
NJ,,20-Jun-15,16-Jun-15
NJ,,,
NJ,,22-Jun-15,17-Jun-15
NJ,,,
NJ,,23-Jun-15,25-Jun-15
NJ,,,
NJ,,24-Jun-15,26-Jun-15
NJ,,,
NJ,,,27-Jun-15
NJ,,,
NJ,,,28-Jun-15
NJ,,,
NJ,,,29-Jun-15
NJ,,,
NJ,,,30-Jun-15
NJ,Absecon,None,
NJ,,,
NJ,Little Egg Harbor,None,
NJ,,,
NJ,Atlantic City,12-Jun-15,11-Jun-15
NJ,,,
NJ,,15-Jun-15,13-Jun-15
NJ,,,
NJ,,18-Jun-15,16-Jun-15
NJ,,,
NJ,,20-Jun-15,17-Jun-15
NJ,,,25-Jun-15
NJ,,22-Jun-15,
NJ,,,26-Jun-15
NJ,,23-Jun-15,
NJ,,,27-Jun-15
NJ,,24-Jun-15,
NJ,,,28-Jun-15
NJ,,,
NJ,,,29-Jun-15
NJ,,,
NJ,,,30-Jun-15
NJ,Linwood,None,
NJ,,,
NJ,Hopewell,None,
NJ,,,
NJ,Deerfield,None,
NJ,,,
NJ,Upper Deerfield,None,
NJ,,,
NJ,Bridgeton,None,
NJ,,,
NJ,Lawrence,None,
NJ,,,
NJ,Commercial,None,
NJ,,,
NJ,Fairfield,25-Jun-15,
NJ,,,
NJ,Montclair,25-Jun-15,
NJ,,,
NJ,Summit,25-Jun-15,
NJ,,,
NJ,Union,25-Jun-15,
NJ,,,
NJ,Jersey City,25-Jun-15,
NJ,,,
NJ,Hoboken,25-Jun-15,
NJ,,,
NJ,Weehawken,25-Jun-15,
NJ,,,
NJ,Maurice River,None,
NJ,,,
NJ,Downe,None,
NJ,,,
NJ,Sea Isle City,None,
NJ,,,
NJ,Avalon,None,
NJ,,,
NJ,West Wildwood,None,
NJ,,,
NJ,Dennis,None,
NJ,,,
NJ,Woodbine,None,
NJ,,,
NJ,Stone Harbor,None,
NJ,,,
NJ,Cape May,12-Jun-15,11-Jun-15
NJ,,,
NJ,,15-Jun-15,13-Jun-15
NJ,,,
NJ,,18-Jun-15,16-Jun-15
NJ,,,
NJ,,20-Jun-15,17-Jun-15
NJ,,,
NJ,,22-Jun-15,25-Jun-15
NJ,,,
NJ,,23-Jun-15,26-Jun-15
NJ,,,
NJ,,24-Jun-15,27-Jun-15
NJ,,,
NJ,,,28-Jun-15
NJ,,,
NJ,,,29-Jun-15
NJ,,,
NJ,,,30-Jun-15
NJ,New Brunswick,13-Jun-15,
NJ,,,
NJ,,20-Jun-15,
NJ,,,
NJ,,23-Jun-15,
NJ,,,
NJ,,25-Jun-15,
NJ,,,
NJ,,26-Jun-15,
NJ,,,
NJ,,27-Jun-15,
NJ,Brigantine,None,
NJ,,,
NJ,Ventnor City,None,
NJ,,,
NJ,Claymont,None,
NJ,,,
NJ,Somerville,17-Jun-15,11-Jun-15
NJ,,,
NJ,,19-Jun-15,14-Jun-15
NJ,,,
NJ,,20-Jun-15,15-Jun-15
NJ,Millville,None,
NJ,,,
NJ,Trenton,11-Jun-15,
NJ,,,
NJ,,20-Jun-15,
NJ,,,
NJ,,26-Jun-15,
NJ,,,
NJ,,27-Jun-15,
NJ,Princeton,11-Jun-15,18-Jun-15
NJ,,,
NJ,,19-Jun-15,22-Jun-15
NJ,,,
NJ,,20-Jun-15,
NJ,,,Available Dates
NJ,,22-Jun-15,
NJ,,,"June 28, 2015 1 available instructor"
NJ,,26-Jun-15,
NJ,,,
NJ,,27-Jun-15,
NJ,Somerset,None,
NJ,,,
NJ,Piscataway,13-Jun-15,Available Dates
NJ,,,"June 28, 2015 1 available instructor"
NJ,,23-Jun-15,
NJ,,,
NJ,,25-Jun-15,
NJ,Pleasantville,12-Jun-15,11-Jun-15
NJ,,,
NJ,,15-Jun-15,16-Jun-15
NJ,,,
NJ,,18-Jun-15,25-Jun-15
NJ,,,
NJ,,20-Jun-15,26-Jun-15
NJ,,,
NJ,,22-Jun-15,28-Jun-15
NJ,,,
NJ,,23-Jun-15,29-Jun-15
NJ,,,
NJ,,24-Jun-15,30-Jun-15
NJ,Ocean/Tinton Falls Area,13-Jun-15,11-Jun-15
NJ,,,
NJ,,17-Jun-15,12-Jun-15
NJ,,,
NJ,,18-Jun-15,14-Jun-15
NJ,,,
NJ,,19-Jun-15,16-Jun-15
NJ,,,
NJ,,20-Jun-15,24-Jun-15
NJ,,,
NJ,,22-Jun-15,28-Jun-15
NJ,,,
NJ,,23-Jun-15,29-Jun-15
NJ,,,
NJ,,25-Jun-15,30-Jun-15
NJ,,,
NJ,,26-Jun-15,
NJ,,,Available Dates
NJ,,27-Jun-15,
NJ,,,"June 29, 2015 2 instructor available"
NJ,,,
NJ,,,"June 30, 2015 1 instructors available"
NJ,,,
NJ,,,
NJ,,,Available Dates (Tinton Falls)
NJ,,,"June 28, 2015 1 available instructor"
NJ,Somerville,13-Jun-15,11-Jun-15
NJ,,,
NJ,,19-Jun-15,12-Jun-15
NJ,,,
NJ,,26-Jun-15,28-Jun-15
NJ,,,
NJ,,27-Jun-15,30-Jun-15
NJ,,,
NJ,,,
NJ,,,Available Dates
NJ,,,"June 28, 2015 1 available instructor"
NJ,Toms River,,29-Jun-15
NJ,,,
NJ,Flemington,11-Jun-15,
NJ,,,
NJ,,13-Jun-15,
NJ,,,
NJ,,18-Jun-15,
NJ,,,
NJ,,20-Jun-15,
NJ,,,
NJ,,25-Jun-15,
NJ,,,
NJ,,26-Jun-15,
NJ,,,
NJ,,27-Jun-15,
NJ,Edison,13-Jun-15,
NJ,,,
NJ,,20-Jun-15,
NJ,,,
NJ,,23-Jun-15,
NJ,,,
NJ,,25-Jun-15,
NJ,,,
NJ,,26-Jun-15,
NJ,,,
NJ,,27-Jun-15,
NJ,Middlesex,13-Jun-15,
NJ,,,
NJ,,20-Jun-15,
NJ,,,
NJ,,23-Jun-15,
NJ,,,
NJ,,25-Jun-15,
NJ,,,
NJ,,26-Jun-15,
NJ,,,
NJ,,27-Jun-15,
NJ,Pennsauken,12-Jun-15,11-Jun-15
NJ,,,
NJ,,13-Jun-15,14-Jun-15
NJ,,,
NJ,,15-Jun-15,15-Jun-15
NJ,,,
NJ,,18-Jun-15,16-Jun-15
NJ,,,
NJ,,20-Jun-15,17-Jun-15
NJ,,,
NJ,,22-Jun-15,25-Jun-15
NJ,,,
NJ,,23-Jun-15,26-Jun-15
NJ,,,
NJ,,24-Jun-15,27-Jun-15
NJ,,,
NJ,,,28-Jun-15
NJ,,,
NJ,,,29-Jun-15
NJ,,,
NJ,,,30-Jun-15
NJ,,,
NJ,,,
NJ,,,Available Dates
NJ,,,
NJ,,,"June 27, 2015 1 instructor available"
NJ,,,
NJ,,,"June 28, 2015 1 instructor available"
NJ,,,
NJ,,,"June 29, 2015 1 instructor available"
NJ,,,
NJ,,,"June 30, 2015 2 instructors available"
NJ,Mount Laurel,12-Jun-15,11-Jun-15
NJ,,,
NJ,,15-Jun-15,16-Jun-15
NJ,,,
NJ,,18-Jun-15,25-Jun-15
NJ,,,
NJ,,20-Jun-15,26-Jun-15
NJ,,,
NJ,,22-Jun-15,28-Jun-15
NJ,,,
NJ,,23-Jun-15,29-Jun-15
NJ,,,
NJ,,24-Jun-15,30-Jun-15
NJ,,,
NJ,,,
NJ,,,Available Dates
NJ,,,
NJ,,,"June 27, 2015 1 instructor available"
NJ,,,
NJ,,,"June 28, 2015 1 instructor available"
NJ,,,
NJ,,,"June 29, 2015 1 instructor available"
NJ,,,
NJ,,,"June 30, 2015 2 instructors available"
NV,Entire State,,All cities are yellow except Las Vegas until the end of June.
NV,,,
NV,Reno,,29-May-15
NV,,,
NV,Las Vegas,None,
NV,,,
OH,Entire State,20-Jun-15,
OH,,,
OH,,27-Jun-15,
OH,,,
OH,,11-Jul-15,
OH,,,
OH,,17-Jul-15,
OH,,,
OH,,25-Jul-15,
OH,Cleveland,11-Jun-15,
OH,,,
OH,,13-Jun-15,
OH,,,
OH,,17-Jul-15,
OH,Columbus,15-Jun-15,
OH,,,
OH,,16-Jun-15,
OH,,,
OH,,17-Jul-15,
OH,,,
OH,,19-Jun-15,
OH,,,
OH,,13-Jun-15,
OH,,,
OH,,20-Jun-15,
OH,,,
OH,,29-Jun-15,
OH,Cincinnati,13-Jun-15,
OH,,,
OH,,17-Jul-15,
OH,,,
OH,,20-Jun-15,
OH,Athens,13-Jun-15,
OH,,,
OH,,19-Jun-15,
OH,,,
OH,,20-Jun-15,
OH,Dayton,17-Jul-15,
OH,,,
OH,,19-Jun-15,
OH,,,
OH,,20-Jun-15,
OH,,,
OH,,23-Jun-15,
OH,,,
OH,,26-Jun-15,
OH,Toledo,13-Jun-15,
OH,,,
OH,,17-Jul-15,
OH,Tiffin,None,
OH,,,
OH,Findlay,None,
OH,,,
OH,Akron,11-Jun-15,
OH,,,
OH,,13-Jun-15,
OH,,,
OH,,17-Jul-15,
OH,Youngstown,None,
OH,,,
OH,Lorain,None,
OH,,,
OH,Lima,13-Jun-15,
OH,,,
OH,Canton,13-Jun-15,
OH,,,
OH,Boardman,None,
OH,,,
OH,Medina,None,
OH,,,
OH,West Union,,"June 4- Aug 31, 2015"
OH,,,
OH,Ashland,,"June 4- Aug 31, 2015"
OH,,,
OH,Jefferson,,"June 4- Aug 31, 2015"
OH,,,
OH,Athens,,"June 4- Aug 31, 2015"
OH,,,
OH,Wapakoneta,,"June 4- Aug 31, 2015"
OH,,,
OH,Clermont,,"June 4- Aug 31, 2015"
OH,,,
OH,Carollton,,"June 4- Aug 31, 2015"
OH,,,
OH,Urbana,,"June 4- Aug 31, 2015"
OH,,,
OH,Springfield,,"June 4- Aug 31, 2015"
OH,,,
OH,Lisbon,,"June 4- Aug 31, 2015"
OH,,,
OH,Bucyrus,,"June 4- Aug 31, 2015"
OH,,,
OH,Upper Sandusky,,"June 4- Aug 31, 2015"
OH,,,
OH,Wooster ,,"June 4- Aug 31, 2015"
OH,,,
